Dataset,Sensitive Attribute,Pipeline,Mitigation,accuracy,accuracy_std,f1_score,f1_score_std,SPD,SPD_std,DI,DI_std,EOD,EOD_std,AOD,AOD_std
adult,race,base,baseline,0.8506049749206674,0.0029788632878853,0.6560322234880295,0.0059960968319498,-0.0848913096636118,0.0056417931076358,0.5904577532109986,0.0256586306000282,-0.0475652961518682,0.0224911265241031,-0.0382723403723688,0.0107293647791462
adult,sex,base,baseline,0.8503101648070427,0.0027093964581979,0.6543436313219511,0.005679949791286,-0.1747339242863785,0.0070622465650376,0.3061971565529727,0.0206498009958749,-0.0969393603397806,0.024994878533917,-0.0860412683349581,0.0133517428880362
adult,race,preprocessing,reweighing,0.8502815027126626,0.0026719585014435,0.6582433018766193,0.0062293327241655,-0.048371301873154,0.0085947439545259,0.765315437807194,0.0387335412989484,0.0558617283860766,0.0313493175465083,0.0255678418760418,0.015739489142277
adult,sex,preprocessing,reweighing,0.8450650015354693,0.0026387579914751,0.6382446457386206,0.0055465029302089,-0.0899076428163714,0.0086980167234747,0.5895448820882042,0.0340199894305287,0.1376473411721711,0.0258407235457441,0.0604299464208835,0.0144966247591191
adult,race,preprocessing,disparate impact remover,0.8500563005425325,0.0032742014409348,0.6555116167757093,0.0072218306527286,-0.0971313278297275,0.0092795065809777,0.53830155895693,0.0296504392839688,-0.086903093748877,0.0278344360402739,-0.0614389371843247,0.0156400131920437
adult,sex,preprocessing,disparate impact remover,0.8486846145971952,0.0028538441722695,0.6419594683590091,0.0109483330489882,-0.1884426863308451,0.0177722988787828,0.2345886842414949,0.0641822631763775,-0.1892818551092084,0.0943403095819194,-0.1347820418149964,0.0506084736189237
adult,race,inprocessing,meta fair classifier,0.8033329921179241,0.0103704204464675,0.6351607884919914,0.0141266722198599,-0.1954955322927348,0.0687846693155691,0.4126328523376113,0.2004721450566363,-0.2087573379669462,0.1246494551230585,-0.168453164376094,0.0921092830860857
adult,sex,inprocessing,meta fair classifier,0.7520401269321322,0.0498397790531421,0.6272612654057237,0.0272515133666163,-0.3132047318376537,0.0690566107760587,0.4030083190753896,0.0212716951519234,-0.0739319869387973,0.0266936128104727,-0.1553054941631341,0.0512516376011289
adult,race,inprocessing,prejudice remover,0.8503797727505373,0.0027320489461612,0.6559220643539082,0.0054739079559033,-0.0920506976579209,0.0063093575734353,0.5592148166678926,0.0290089280040671,-0.072235064178999,0.0236901645733803,-0.0524874236515094,0.0121631805789428
adult,sex,inprocessing,prejudice remover,0.85035929982598,0.002543831246655,0.6558193993330047,0.0052604952664864,-0.1810993219669752,0.0066299147794197,0.291650096052279,0.0173238142842361,-0.1152859688285821,0.021877161333516,-0.0972350834298685,0.0121877751168864
adult,race,postprocessing,equalized odds postprocessing,0.8434844917596479,0.0029836843918439144,0.6345507144578614,0.006802184030912247,-0.0507547708859894,0.006085289334664033,0.7415855997882584,0.02887385179226546,-0.0033057450436874847,0.026052947471407843,-0.0016325315405173709,0.012364901374635319
adult,sex,postprocessing,equalized odds postprocessing,0.8255092639983621,0.0033779033012162414,0.6017961964263921,0.00994581685395996,-0.09015918348888398,0.0071099136891161745,0.6064634302909756,0.02332339517909533,-0.00548357153084636,0.025776498998757145,-0.0034310209796528345,0.01290266382200928
