Mitigation,Sensitive Attribute,accuracy,f1_score,SPD,DI,EOD,AOD
Baseline,race,0.6805266805266805,0.6063193851409053,-0.19692454558354938,0.5392254520208881,-0.22174382331660913,-0.1673825482449455
Baseline,race,0.6638946638946639,0.5893310753598645,-0.18892236170784105,0.5657118055555556,-0.24979530567685593,-0.16902754184477048
Baseline,race,0.6611226611226612,0.58169375534645,-0.11015496478858039,0.7221550625673865,-0.12106619641888228,-0.093271684568077
Baseline,race,0.683991683991684,0.6082474226804124,-0.18181468106590906,0.5651065920232528,-0.15257437597863133,-0.1487530059996881
Baseline,race,0.6860706860706861,0.6050566695727986,-0.1380292516280559,0.6475059434229755,-0.16850158611681282,-0.10930161014364538
Baseline,race,0.6943866943866944,0.6188418323249785,-0.2228059841128215,0.47613422272009776,-0.2419830000965904,-0.18840953283518044
Baseline,race,0.6791406791406791,0.6032562125107113,-0.20841056679906686,0.5175010947306963,-0.25099447085286264,-0.18990454773753884
Baseline,race,0.6729036729036729,0.6,-0.17205978593594967,0.5975259870126663,-0.25622569610803464,-0.15981286550110568
Baseline,race,0.6777546777546778,0.5967042497831744,-0.1616856423390655,0.5987180171999359,-0.2394948259331504,-0.1570092136355458
Baseline,race,0.683991683991684,0.6148648648648649,-0.17268860610365644,0.5959421934856194,-0.18558344209468586,-0.14861842380620877
Baseline,race,0.665973665973666,0.5801393728222997,-0.16198155711819448,0.5972001172725749,-0.2210468621540148,-0.15070326538696902
Baseline,race,0.6694386694386695,0.5974683544303798,-0.19750519750519752,0.5476190476190477,-0.21313032999629222,-0.1749369572519069
Baseline,race,0.6638946638946639,0.5948203842940685,-0.169542784052724,0.6104552699740985,-0.18206142787496743,-0.15304549498458966
Baseline,race,0.6611226611226612,0.5780845556514236,-0.16201665550719785,0.6053767550900797,-0.21969696969696967,-0.15226651763537008
Baseline,race,0.6763686763686764,0.6032285471537807,-0.17554418971535984,0.5893677371231155,-0.1613085548923856,-0.14358377099137654
Baseline,race,0.6777546777546778,0.5953002610966057,-0.17325540912333137,0.5729683910902746,-0.20233129403040417,-0.14594732965630963
Baseline,race,0.6611226611226612,0.5758889852558543,-0.18644905617514296,0.5500170065437119,-0.22108428287212872,-0.16564607980360108
Baseline,race,0.6638946638946639,0.5961698584512907,-0.18950795334040293,0.5765260663507109,-0.2372737556561086,-0.18115567584845185
Baseline,race,0.6618156618156619,0.5878378378378378,-0.18568470608748722,0.5691048686486541,-0.19874141876430207,-0.16908940958307944
Baseline,race,0.6534996534996536,0.5733788395904437,-0.17141097218945767,0.5896269335759782,-0.14228529839883547,-0.15254091705431921
